user	Type	timeout	seconds	threads	stream	bandwidth	throughput	droprate-total
c14jmt	Normal	1000	60	100	 [6]	345366.652792808	0.585541878243015	6.90816374460832
c14jmt	Normal	1000	60	100	 [6]	340598.313951551	0.577457536403319	7.09078241779719
c14jmt	Normal	1000	60	100	 [6]	346693.413752312	0.587791296644951	6.73498508936514
c14jmt	Normal	1000	60	100	 [6]	347236.629011297	0.588712275206327	6.79433208408122
c14jmt	Normal	1000	60	100	 [6]	207262.260127932	0.351396789767679	6.97762670898927
c14jmt	Normal	1000	60	100	 [6]	198378.03618432	0.336334289863281	7.08955391607186
c14jmt	Normal	1000	60	100	 [6]	145073.916737468	0.245961365996413	10.8932554314598
c14jmt	Normal	1000	60	100	 [6]	191600.113301231	0.324842857023843	7.00575208254607
c14jmt	Normal	1000	60	100	 [6]	128398.740608706	0.21768992209321	10.8805501303523
c14jmt	Normal	1000	60	100	 [6]	114501.957778629	0.194129024554154	30.5303041944541
jwestin	Normal	1000	60	100	 [6]	249730.821130491	0.42339888022612	2.33270007794781
jwestin	Normal	1000	60	100	 [6]	366207.234375781	0.620875438055727	2.45802776299351
jwestin	Normal	1000	60	100	 [6]	137265.781450444	0.232723289405728	2.75970815729411
jwestin	Normal	1000	60	100	 [6]	230586.823952814	0.390941745254202	1.97442618169511
jwestin	Normal	1000	60	100	 [6]	176135.403478377	0.298623663123875	1.73213469644617
jwestin	Normal	1000	60	100	 [6]	179440.567829651	0.30422730819643	2.71246552275114
jwestin	Normal	1000	60	100	 [6]	203300.514768354	0.344679963460887	1.95414059628407
jwestin	Normal	1000	60	100	 [6]	200464.660601819	0.339871996734313	2.54185466330356
jwestin	Normal	1000	60	100	 [6]	116702.934168652	0.197860606161588	3.95558564410499
jwestin	Normal	1000	60	100	 [6]	274468.510496501	0.46533967844052	1.98326096998908
c14jmt	Improved	1000	60	50	6	227987.567179527	0.386534910718328	6.94926802053166
c14jmt	Improved	1000	60	100	6	405192.796769926	0.686972379506303	6.98631144963424
c14jmt	Improved	1000	60	150	6	419603.283856749	0.711404222033604	6.99415640614152
c14jmt	Improved	1000	60	200	6	417823.499295147	0.70838673790003	6.89548905390075
c14jmt	Improved	1000	60	250	6	419368.600998625	0.711006335785972	7.48527833301142
c14jmt	Improved	1000	60	300	6	419510.406286479	0.711246755449895	6.93743591731317
c14jmt	Improved	1000	60	350	6	420713.461648295	0.713286440782835	7.01249589884444
c14jmt	Improved	1000	60	400	6	420707.833707385	0.71327689905359	6.89596371981307
c14jmt	Improved	1000	60	450	6	419976.55467379	0.712037073218096	7.09029839676981
c14jmt	Improved	1000	60	500	6	418291.68584193	0.709180511206614	6.93996886560989
jwestin	Improved	1000	100	100	6	381460.925448226	0.646736866333391	2.56548714458188
jwestin	Improved	1000	100	100	6	381610.03021925	0.646989661694421	2.69619272173745
jwestin	Improved	1000	100	100	6	383603.349052064	0.650369176317112	2.55561241487973
jwestin	Improved	1000	100	100	6	381564.64963838	0.646912722504306	2.73181775482824
jwestin	Improved	1000	100	100	6	385779.582910255	0.654058808916313	2.6260141645258
jwestin	Improved	1000	100	100	6	378186.31351089	0.641185020465241	2.63222171714565
jwestin	Improved	1000	100	100	6	374946.124153642	0.635691535362484	2.80479092727811
jwestin	Improved	1000	100	100	6	375503.824308974	0.63663707192141	2.73585009721939
jwestin	Improved	1000	100	100	6	373439.338897278	0.63313689998589	2.70342010048692
jwestin	Improved	1000	100	100	6	380802.474421815	0.645620514631169	[2.499353961487692
